g,alpha,role,status,feasible,energy_density_raw,energy_raw,energy_density_plot,energy_plot,eq_residual,psd_residual,clipped
0.2,0.02,black,optimal_inaccurate,1,0.08525660758799998,852.5660758799999,0.08525660758799998,852.5660758799999,2.7258758176169835e-08,1.6373714577062591e-06,0
0.3,0.03,black,optimal_inaccurate,1,0.026481600201959294,264.81600201959293,0.026481600201959294,264.81600201959293,2.9595318218002938e-08,1.5571884483714264e-06,0
0.4,0.04,black,optimal_inaccurate,1,0.0020763511160641858,20.76351116064186,0.0020763511160641858,20.76351116064186,2.1880563106867406e-08,1.8369105634317029e-06,0
0.42,0.042,black,optimal_inaccurate,1,-0.0011694028257351193,-11.694028257351194,0.0,0.0,2.0498647867145884e-08,2.0501966690584757e-06,1
0.43869133765083085,0.04386913376508309,red,optimal_inaccurate,1,-0.006942624853401787,-69.42624853401787,0.0,0.0,2.9047145963372537e-08,1.679432816316865e-06,1
0.45,0.045,black,optimal_inaccurate,1,-0.008067220247634016,-80.67220247634016,0.0,0.0,2.799098866886414e-08,1.8137730576259536e-06,1
0.5,0.05,black,optimal_inaccurate,1,-0.018949348306642463,-189.49348306642463,0.0,0.0,3.407086233225156e-08,1.2889567889177888e-06,1
0.6,0.06,black,optimal_inaccurate,1,-0.015767483899512796,-157.67483899512797,0.0,0.0,1.0318303549183196e-08,1.1073450972045665e-06,1
0.8,0.08,black,optimal_inaccurate,1,0.15897921045816324,1589.7921045816324,0.15897921045816324,1589.7921045816324,1.5978412159382413e-08,1.2251137688327684e-06,0
