x,g_0_2,g_gc,g_0_5
-4.6,0.48771199999999837,2.855312819475104,19.68019999999999
-4.59487072560467,0.48827902936459255,2.835108602277594,19.56746125134568
-4.589741451209341,0.48886061409512527,2.815026394828916,19.45521934755308
-4.584612176814011,0.48945661866196577,2.7950657327002224,19.34347283429408
-4.579482902418682,0.4900669078677323,2.775226152261949,19.23222025931719
-4.574353628023353,0.490691346847298,2.755507190683795,19.12146017244748
-4.569224353628023,0.49132980106777957,2.7359083859347253,19.01119112558654
-4.564095079232693,0.4919821363285447,2.716429276782968,18.901411672712552
-4.5589658048373645,0.49264821876121756,2.697069402796049,18.79212036988027
-4.553836530442035,0.49332791482966076,2.677828304340723,18.683315775220972
-4.548707256046705,0.49402109133000194,2.6587055225830563,18.574996448942546
-4.543577981651376,0.49472761539060395,2.639700599488351,18.467160953329422
-4.538448707256046,0.495447354472093,2.6208130778211896,18.359807852742566
-4.533319432860717,0.4961801763673318,2.6020425011454256,18.252935713619532
-4.528190158465388,0.4969259492014433,2.5833884138241903,18.14654310447448
-4.523060884070058,0.4976845414317923,2.5648503610198623,18.040628595898017
-4.517931609674728,0.49845582184800163,2.5464278886941014,17.935190760557422
-4.5128023352794,0.49923965957194705,2.528120543607855,17.830228173196524
-4.50767306088407,0.5000359240577374,2.5099278733213053,17.725739410635626
-4.50254378648874,0.500844485091745,2.4918494261939284,17.62172305177168
-4.497414512093411,0.5016652127925929,2.473884751384451,17.518177677578194
-4.4922852376980815,0.5024979776111431,2.456033398850892,17.415101871105193
-4.487155963302752,0.5033426503305206,2.438294919350525,17.312494217479298
-4.482026688907423,0.5041991020660928,2.4206688644398886,17.21035330390371
-4.476897414512093,0.5050672042654796,2.4031547864748024,17.10867771965811
-4.4717681401167635,0.5059468287085501,2.3857522386103485,17.00746605609885
-4.466638865721434,0.5068378475074191,2.368460774800873,16.906716906658772
-4.461509591326105,0.5077401331064619,2.3512799498000163,16.80642886684732
-4.456380316930775,0.5086535582822972,2.3342093191606557,16.706600534250455
-4.4512510425354455,0.509577996143791,2.3172484392349464,16.60723050853074
-4.446121768140117,0.5105133201320653,2.300396867174336,16.508317391427312
-4.440992493744787,0.5114594040204882,2.2836541609295082,16.409859786755803
-4.435863219349457,0.512416121914675,2.267019879250437,16.31185630040848
-4.430733944954128,0.5133833482524972,2.2504935816863627,16.214305540354133
-4.425604670558799,0.5143609578040783,2.2340748285857845,16.117206116638116
-4.420475396163469,0.5153488256717804,2.2177631810964806,16.020556641382356
-4.41534612176814,0.5163468272902261,2.201558201165504,15.924355728785372
-4.41021684737281,0.5173548384262828,2.1854594515391628,15.828601995122163
-4.4050875729774805,0.518372735179071,2.169466495763038,15.73329405874437
-4.399958298582152,0.5194003939799607,2.1535788981819888,15.638430540080188
-4.394829024186822,0.520437691592568,2.137796223940133,15.544010061634312
-4.389699749791492,0.5214845051127617,2.1221180389808616,15.450031247988052
-4.384570475396163,0.5225407119686638,2.1065439100468413,15.356492725799287
-4.379441201000834,0.5236061899206398,2.0910734046799946,15.263393123802425
-4.374311926605504,0.5246808170613113,2.075706091221525,15.170731072808453
-4.369182652210175,0.5257644718155436,2.060441538811898,15.078505205704937
-4.364053377814845,0.5268570329404604,2.0452793173908574,14.986714157455966
-4.358924103419516,0.5279583795254299,2.0302189976974025,14.89535656510222
-4.353794829024187,0.5290683909920642,2.0152601512698127,14.804431067760952
-4.348665554628857,0.530186947094237,2.000402350445631,14.713936306625929
-4.343536280233527,0.5313139279180661,1.98564516836167,14.623870924967523
-4.3384070058381985,0.5324492138819243,1.9709881789540271,14.534233568132688
-4.333277731442869,0.5335926857364252,1.9564309569580403,14.445022883544866
-4.328148457047539,0.5347442245644409,1.9419730779083368,14.35623752070413
-4.32301918265221,0.5359037117810868,1.9276141181388124,14.26787613118709
-4.3178899082568805,0.5370710291337325,1.9133536547826206,14.1799373686469
-4.312760633861551,0.5382460587019973,1.8991912657721937,14.0924198888133
-4.307631359466222,0.5394286828977535,1.8851265298392346,14.00532234949262
-4.302502085070892,0.5406187844651124,1.871159026514706,13.918643410567672
-4.297372810675562,0.5418162464804459,1.8572883361288528,13.83238173399791
-4.292243536280234,0.5430209523523759,1.8435140398111782,13.746535983819317
-4.287114261884904,0.5442327858217647,1.829835719490454,13.661104826144417
-4.281984987489574,0.5454516309617372,1.8162529578947302,13.57608692916234
-4.276855713094245,0.5466773721776583,1.802765338551327,13.491480963138768
-4.2717264386989156,0.547909894207146,1.7893724457868099,13.407285600415895
-4.266597164303586,0.5491490821200709,1.776073864727055,13.323499515412562
-4.261467889908257,0.550394821318549,1.7628691812971677,13.240121384624105
-4.256338615512927,0.5516469975369521,1.7497579822215537,13.157149886622447
-4.2512093411175975,0.5529054968418976,1.73673985502386,13.074583702056072
-4.246080066722268,0.5541702056322525,1.7238143880270258,12.992421513650028
-4.240950792326939,0.5554410106391346,1.7109811703532454,12.91066200620593
-4.235821517931609,0.5567177989259122,1.6982397919239902,12.829303866601942
-4.23069224353628,0.5580004578882081,1.68558984346,12.748345783792807
-4.225562969140951,0.559288875253889,1.6730309164812758,12.667786448809803
-4.220433694745621,0.5605829390830668,1.6605626033070966,12.587624554760787
-4.215304420350291,0.5618825377681159,1.6481844970560044,12.507858796830195
-4.210175145954962,0.5631875600336566,1.635896191645832,12.428487872279028
-4.205045871559633,0.5644978949365529,1.6236972817936364,12.349510480444785
-4.199916597164303,0.5658134318659264,1.61158736301579,12.270925322741604
-4.194787322768974,0.567134060543142,1.5995660316279114,12.192731102660158
-4.189658048373644,0.5684596710218186,1.587632884744885,12.114926525767657
-4.184528773978315,0.5697901536878262,1.5757875202808775,12.037510299707911
-4.179399499582986,0.5711253992592807,1.5640295369493211,11.960481134201288
-4.174270225187656,0.572465298786555,1.5523585342629165,11.88383774104469
-4.169140950792326,0.573809743652263,1.5407741125336232,11.807578834111602
-4.164011676396997,0.575158625571271,1.5292758728726885,11.73170312935208
-4.158882402001668,0.5765118365907027,1.5178634171906125,11.656209344792721
