g,level_2_energy,level_2_status,level_3_energy,level_3_status,level_4_energy,level_4_status,level_5_energy,level_5_status,level_6_energy,level_6_status
3.4325,-2.8594718933319996,clarabel:optimal:cert,0.5181046242042007,clarabel:optimal:cert,0.6086517591937379,clarabel:optimal:cert,0.6687262096831801,clarabel:optimal_inaccurate:cert,0.6695215898166131,clarabel:optimal_inaccurate:cert
3.515,-3.0216597903378783,clarabel:optimal:cert,0.5206682144890629,clarabel:optimal:cert,0.6129082740263201,clarabel:optimal_inaccurate:cert,0.6737814156764659,clarabel:optimal:cert,0.6745926261418795,clarabel:optimal:cert
3.5975,-3.1876093470681894,clarabel:optimal:cert,0.5233289873278679,clarabel:optimal:cert,0.6168918292711707,clarabel:optimal:cert,0.6788398521364392,clarabel:optimal:cert,0.6797513295089488,clarabel:optimal_inaccurate:cert
3.68,-3.3573266664412245,clarabel:optimal:cert,0.5260782322144002,clarabel:optimal:cert,0.6207708493062947,clarabel:optimal:cert,0.6841589170843441,clarabel:optimal:cert,0.6849258679576873,clarabel:optimal:cert
3.7625,-3.530816664070244,clarabel:optimal:cert,0.528908199505483,clarabel:optimal:cert,0.6254556493099259,clarabel:optimal:cert,0.6894027592859544,clarabel:optimal:cert,0.6902423534170623,clarabel:optimal:cert
3.845,-3.7080841364815456,clarabel:optimal:cert,0.5318118731699448,clarabel:optimal:cert,0.6301852468992495,clarabel:optimal_inaccurate:cert,0.6947360986769948,clarabel:optimal:cert,0.6955898577672932,clarabel:optimal_inaccurate:cert
3.9275,-3.8891329115959934,clarabel:optimal:cert,0.5347829130360819,clarabel:optimal:cert,0.6346894028231604,clarabel:optimal:cert,0.7000417710278701,clarabel:optimal:cert,0.7009557744558406,clarabel:optimal:cert
4.01,-4.073968249843119,clarabel:optimal:cert,0.5378155779815286,clarabel:optimal:cert,0.6389161444692728,clarabel:optimal:cert,0.7053016926963103,clarabel:optimal:cert,0.7063931687756915,clarabel:optimal:cert
4.0925,-4.262592023502975,clarabel:optimal:cert,0.540904658988067,clarabel:optimal:cert,0.6438235718991057,clarabel:optimal_inaccurate:cert,0.7108956272017402,clarabel:optimal:cert,0.7118207503592744,clarabel:optimal_inaccurate:cert
4.175,-4.4550079714969115,clarabel:optimal:cert,0.5440454209790948,clarabel:optimal:cert,0.6482036334978953,clarabel:optimal:cert,0.7162507398455575,clarabel:optimal:cert,0.7173504032695754,clarabel:optimal:cert
4.2575,-4.651218676541248,clarabel:optimal:cert,0.5472335520453233,clarabel:optimal:cert,0.652741649879119,clarabel:optimal_inaccurate:cert,0.7218185301841911,clarabel:optimal:cert,0.7228976993060554,clarabel:optimal:cert
4.34,-4.851227028942446,clarabel:optimal:cert,0.5504651189876222,clarabel:optimal:cert,0.657500342529008,clarabel:optimal:cert,0.7273089548321641,clarabel:optimal:cert,0.7284137450484824,clarabel:optimal:cert
4.4225,-5.055034647034006,clarabel:optimal:cert,0.5537365282672086,clarabel:optimal:cert,0.6624196886309677,clarabel:optimal:cert,0.732892522924572,clarabel:optimal:cert,0.7340000465680321,clarabel:optimal:cert
4.505,-5.262644672857277,clarabel:optimal:cert,0.557044491450797,clarabel:optimal:cert,0.6670627004121523,clarabel:optimal:cert,0.738436044184825,clarabel:optimal:cert,0.7395714527609414,clarabel:optimal_inaccurate:cert
4.5875,-5.474058170525495,clarabel:optimal:cert,0.5603859951652226,clarabel:optimal:cert,0.6717819706217196,clarabel:optimal:cert,0.744008243405847,clarabel:optimal:cert,0.7452180034336213,clarabel:optimal:cert
4.67,-5.689276991329848,clarabel:optimal:cert,0.5637582739886566,clarabel:optimal:cert,0.6767045579292696,clarabel:optimal:cert,0.749538107980606,clarabel:optimal:cert,0.7508571999490128,clarabel:optimal:cert
4.7525,-5.9083030077437115,clarabel:optimal:cert,0.5671587866230721,clarabel:optimal:cert,0.6814361626048542,clarabel:optimal:cert,0.7551849052800437,clarabel:optimal:cert,0.7564822836085296,clarabel:optimal:cert
4.835,-6.13113763779927,clarabel:optimal:cert,0.5705851949165248,clarabel:optimal:cert,0.6858926723770506,clarabel:optimal:cert,0.7608271140572191,clarabel:optimal:cert,0.7621217002929743,clarabel:optimal:cert
4.9175,-6.357781559243108,clarabel:optimal:cert,0.5740353447647153,clarabel:optimal:cert,0.6907614732749328,clarabel:optimal:cert,0.766531708923964,clarabel:optimal_inaccurate:cert,0.7678100356047548,clarabel:optimal_inaccurate:cert
5.0,-6.588237131005826,clarabel:optimal:cert,0.5775072495009115,clarabel:optimal:cert,0.6954359363415719,clarabel:optimal_inaccurate:cert,0.7721122098176487,clarabel:optimal:cert,0.7734789841255938,clarabel:optimal:cert
